update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
30,7200,0.6074074119329452,0.5925925970077515,0.6074074074074074,16.4,2.8264904022216797,0.036648817360401154,0.028159331530332565,0.01255823764950037
35,8400,0.5592592634260655,0.5370370410382748,0.5592592592592592,15.1,2.8439929485321045,0.01850908249616623,0.030694087967276573,0.009470682591199875
40,9600,0.6407407455146312,0.6111111156642437,0.6407407407407407,17.3,2.86252498626709,0.012773948721587658,0.012911463156342506,0.011746504344046116
45,10800,0.48148148506879807,0.5185185223817825,0.4814814814814815,13.0,2.8451662063598633,0.007651751395314932,0.008929005824029446,0.008075800724327564
50,12000,0.48888889253139495,0.5000000037252903,0.4888888888888888,13.2,2.8826992511749268,0.009785231202840805,-0.003625726792961359,0.008008438162505627
55,13200,0.49629629999399183,0.48148148506879807,0.4962962962962963,13.4,2.87298846244812,0.0090678995475173,0.01287800446152687,0.008714924566447735
60,14400,0.48518518880009653,0.5000000037252903,0.4851851851851851,13.1,2.882345676422119,0.007179157342761755,-0.013803625479340553,0.00718600582331419
65,15600,0.5148148186504841,0.4444444477558136,0.5148148148148148,13.9,2.842357635498047,0.013502753339707851,-0.0010026614181697369,0.010725770145654678
70,16800,0.5259259298443795,0.5370370410382748,0.5259259259259259,14.2,2.800832509994507,0.01124817505478859,-0.07627754658460617,0.012820553965866566
75,18000,0.4703703738749027,0.46296296641230583,0.4703703703703703,12.7,2.8768136501312256,0.009490328840911388,-0.008072996512055397,0.006480087526142597
80,19200,0.5629629671573639,0.5185185223817825,0.562962962962963,15.2,2.8144049644470215,0.009431170299649239,0.01445786189287901,0.011810213327407837
85,20400,0.4925925962626934,0.4444444477558136,0.4925925925925926,13.3,2.831418991088867,0.009798791259527206,-0.009368833154439926,0.00968454871326685
90,21600,0.5592592634260655,0.5740740783512592,0.5592592592592592,15.1,2.8497323989868164,0.007455629762262106,-0.00016106764087453485,0.009983895346522331
95,22800,0.4740740776062012,0.40740741044282913,0.47407407407407404,12.8,2.8698348999023438,0.009462183341383934,0.009610076434910297,0.006503175478428602
100,24000,0.5148148186504841,0.555555559694767,0.5148148148148148,13.9,2.8704793453216553,0.007612802088260651,-0.00019445021462161094,0.006751645356416702
105,25200,0.49629629999399183,0.48148148506879807,0.4962962962962963,13.4,2.8590474128723145,0.00873681902885437,-0.008957765065133572,0.009847119450569153
110,26400,0.6185185231268406,0.555555559694767,0.6185185185185185,16.7,2.829847812652588,0.005636978428810835,-0.007820709608495235,0.010770859196782112
115,27600,0.49629629999399183,0.4444444477558136,0.4962962962962963,13.4,2.8559446334838867,0.008477987721562386,-0.010733255185186863,0.008827527053654194
5,1200,0.522222226113081,0.5000000037252903,0.5222222222222223,14.1,2.88618803024292,0.0569283552467823,0.006849877070635557,0.007768529467284679
10,2400,0.5000000037252903,0.5370370410382748,0.5,13.5,2.8669047355651855,0.03596777468919754,-0.011260954663157463,0.006329584866762161
15,3600,0.6111111156642437,0.6111111156642437,0.6111111111111112,16.5,2.8151981830596924,0.02166571281850338,0.06051664426922798,0.011659866198897362
20,4800,0.5000000037252903,0.5185185223817825,0.5,13.5,2.8552589416503906,0.03151029348373413,0.00690930662676692,0.007694081868976355
25,6000,0.45555555894970895,0.46296296641230583,0.45555555555555555,12.3,2.8465867042541504,0.03960827365517616,0.02520883083343506,0.008240291848778725
30,7200,0.4777777813374996,0.48148148506879807,0.47777777777777786,12.9,2.855225086212158,0.02654285356402397,-0.01017777156084776,0.009677862748503685
35,8400,0.45555555894970895,0.4444444477558136,0.45555555555555555,12.3,2.83837628364563,0.02216745726764202,0.023943042382597923,0.011498473584651947
40,9600,0.48888889253139495,0.5185185223817825,0.48888888888888893,13.2,2.8586368560791016,0.012794378213584423,-0.019225439056754112,0.009828861802816391
45,10800,0.5148148186504841,0.5370370410382748,0.5148148148148148,13.9,2.8814611434936523,0.01082792691886425,0.008701775223016739,0.0065549747087061405
50,12000,0.5333333373069763,0.5370370410382748,0.5333333333333333,14.4,2.8717470169067383,0.008816927671432495,-0.0046047368086874485,0.009236016310751438
55,13200,0.5666666708886623,0.6481481529772282,0.5666666666666667,15.3,2.850914478302002,0.01121444720774889,-0.0060133617371320724,0.012766401283442974
60,14400,0.4666666701436043,0.5000000037252903,0.4666666666666666,12.6,2.8827359676361084,0.005913852248340845,-0.00984628964215517,0.0041406541131436825
65,15600,0.46296296641230583,0.5000000037252903,0.46296296296296297,12.5,2.841305732727051,0.01047554425895214,-0.029683005064725876,0.00938853994011879
70,16800,0.38518518805503843,0.40740741044282913,0.3851851851851852,10.4,2.856956958770752,0.009824292734265327,-0.011834589764475822,0.006607030518352985
75,18000,0.5111111149191856,0.4444444477558136,0.5111111111111111,13.8,2.8234500885009766,0.014278000220656395,-0.008066173642873764,0.011325986124575138
